taxon,genus,species,state,county,latitude,longitude,source,inst
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,sp.,Washington,Clallam County,48.073572,-123.089484,idigbio,CMC
Mammuthus,Mammuthus,columbi,Oregon,Marion County,44.9,-122.8,idigbio,UOMNH
Mammuthus,Mammuthus,,Oregon,Morrow County,45.4,-119.8,idigbio,UOMNH
Mammuthus,Mammuthus,,Oregon,Jackson County,42.4,-123.1,idigbio,UOMNH
Mammuthus,Mammuthus,columbi,Oregon,Yamhill County,45.2,-123.0,idigbio,UOMNH
Mammuthus,Mammuthus,,Oregon,Malheur County,42.7,-117.7,idigbio,UOMNH
Mammuthus,Mammuthus,,Oregon,Yamhill County,45.2,-123.0,idigbio,UOMNH
Mammuthus,Mammuthus,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammuthus,Mammuthus,,Oregon,Malheur County,42.7,-117.7,idigbio,UOMNH
Mammuthus,Mammuthus,,Oregon,Yamhill County,45.2,-123.0,idigbio,UOMNH
Mammuthus,Mammuthus,,Oregon,Yamhill County,45.2,-123.0,idigbio,UOMNH
Mammuthus,Mammuthus,,Oregon,Yamhill County,45.2,-123.0,idigbio,UOMNH
Mammut,Mammut,,Oregon,Marion County,45.1,-122.8,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.3,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.8,-117.6,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.8,-118.3,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.3,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.8,-117.6,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Jackson County,42.4,-123.1,idigbio,UOMNH
Mammut,Mammut,americanum,Oregon,Yamhill County,45.2,-123.0,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.0,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.8,-118.3,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.8,-118.3,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.8,-117.6,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Morrow County,45.7,-119.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Gilliam County,45.7,-120.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Morrow County,45.7,-119.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Morrow County,45.7,-119.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Morrow County,45.7,-119.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Morrow County,45.7,-119.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.8,-117.6,idigbio,UOMNH
Mammut,Mammut,,Oregon,Morrow County,45.7,-119.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Harney County,43.7,-118.4,idigbio,UOMNH
Mammut,Mammut,,Oregon,Malheur County,43.7,-118.1,idigbio,UOMNH
