taxon,latitude,longitude,source,lithology,lith2,geo_age,lith_score,dist_to_water_m
Mammuthus,47.483334,-117.566666,pbdb,Basalt,,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,0.15,3929.7561739688813
Mammuthus,48.601665,-123.347221,pbdb,,,,0.4,313165.7463138503
Mammuthus,48.458611,-123.294724,pbdb,,,,0.4,303669.8264406275
Mammuthus,48.472778,-123.291115,pbdb,,,,0.4,303976.5346170316
Mammuthus,48.456669,-123.326111,pbdb,,,,0.4,305769.06334575446
Mammuthus,48.116943,-122.760559,pbdb,Sand,Gravel,Phanerozoic - Cenozoic - Quaternary - Pleistocene,1.0,254075.92196382032
Mammuthus,46.871895,-120.773102,pbdb,Conglomerate,Volcanic,Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene,0.8,113645.04886377674
Mammuthus,47.202,-117.523003,pbdb,Basalt,,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,0.15,32738.412128418764
Mammuthus,46.706001,-117.691002,pbdb,Basalt,,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,0.15,88944.75955032538
Mammuthus,45.519016,-122.958008,pbdb,Clay,Silt,Phanerozoic - Cenozoic - Quaternary - Pleistocene,1.0,170615.45853938808
Mammuthus,44.533333,-122.900002,pbdb,Sand,Gravel,Phanerozoic - Cenozoic - Quaternary - Holocene,1.0,174521.6206803966
Mammuthus,43.333332,-120.5,pbdb,Clay,Silt,Phanerozoic - Cenozoic - Quaternary - Pleistocene,1.0,4414.566094698497
Mammuthus,44.958775,-122.878143,pbdb,Clay,Silt,Phanerozoic - Cenozoic - Quaternary - Pleistocene,1.0,160470.96834725965
Mammuthus,36.099998,-117.900002,pbdb,,,,0.4,4724.367135122008
Mammuthus,36.654446,-114.568886,pbdb,Coarse-detrital,Fine-detrital,Phanerozoic - Cenozoic - Quaternary - Holocene,0.85,9506.106176809535
Mammuthus,36.501389,-116.336945,pbdb,Coarse-detrital,Fine-detrital,Phanerozoic - Cenozoic - Quaternary - Holocene,0.85,7607.947772532576
Mammut,47.0,-118.5,pbdb,Silt,,Phanerozoic - Cenozoic - Quaternary - Pleistocene,1.0,91303.80802984432
Mammut,48.049999,-123.116669,pbdb,Sandstone,Siltstone,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Miocene,0.9,277906.11369084765
Mammut,47.202,-117.523003,pbdb,Basalt,,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,0.15,32738.412128418764
Mammut,45.373905,-122.776749,pbdb,Clay,Silt,Phanerozoic - Cenozoic - Quaternary - Pleistocene,1.0,153411.11037001095
Mammut,42.468811,-123.119583,pbdb,Metaandesite,Metabasalt,Phanerozoic - Mesozoic - Jurassic,0.4,74964.70350479589
Equus,47.0,-118.5,pbdb,Silt,,Phanerozoic - Cenozoic - Quaternary - Pleistocene,1.0,91303.80802984432
Equus,48.449722,-123.504723,pbdb,,,,0.4,317935.6794929242
Equus,47.202,-117.523003,pbdb,Basalt,,Phanerozoic - Cenozoic - Tertiary-Neogene - Early-Pliocene,0.15,32738.412128418764
Equus,43.0,-118.0,pbdb,Basalt,,Phanerozoic - Cenozoic - Quaternary - Pleistocene,0.15,3591.252159461744
Equus,43.333332,-120.5,pbdb,Clay,Silt,Phanerozoic - Cenozoic - Quaternary - Pleistocene,1.0,4414.566094698497
Equus,42.761299,-120.551399,pbdb,Clay,Silt,Phanerozoic - Cenozoic - Quaternary - Pleistocene,1.0,4748.698287735887
Equus,45.148335,-122.842499,pbdb,Clay,Silt,Phanerozoic - Cenozoic - Quaternary - Pleistocene,1.0,156379.46210150592
