rank,longitude,latitude,elevation,slope,aspect,tri,lith_score,prob,composite,ecoregion,cell,composite_norm
1,-122.84194444361265,45.175277773978785,56.367203,0.26003274,59.145752,0.10030508,1.0,0.9954252334680086,0.9963401867744068,west,45.0_-123.0,1.0
2,-120.32805555201938,46.91138888695757,605.87726,2.4235384,14.078692,1.0852127,1.0,0.8907176061434611,0.912574084914769,east,47.0_-120.0,1.0
3,-122.25861110965178,48.5780555554172,52.823853,0.20242251,61.97147,0.27162552,1.0,0.9906339447302913,0.9925071557842331,west,49.0_-122.0,0.9862811761823272
4,-122.60583333224753,45.82805555245881,59.44815,0.3268856,66.65346,0.25330162,1.0,0.9897364036807748,0.9917891229446198,west,46.0_-123.0,0.9837112606123226
5,-122.09194444280581,47.466944443110776,52.856438,1.3497742,63.884842,0.5788255,1.0,0.9896160083110955,0.9916928066488764,west,47.0_-122.0,0.9833665343903164
6,-123.53638888880415,48.133611110494634,56.379414,0.7011714,56.71544,0.3138399,1.0,0.9863082874856965,0.9890466299885572,west,48.0_-124.0,0.9738955879026879
7,-122.89749999922797,48.494722221994216,67.698524,1.1206781,62.654285,0.5334778,1.0,0.9734373622786661,0.978749889822933,west,48.0_-123.0,0.9370424644631222
8,-118.230833327541,46.078055552727754,480.4806,2.4236104,9.473853,1.0659142,1.0,0.8833850567576406,0.9067080454061125,east,46.0_-118.0,0.9363348428871638
9,-121.89749999815218,47.647499998860575,35.737965,0.45580253,62.798992,0.16100502,1.0,0.9691091223113524,0.9752872978490819,west,48.0_-122.0,0.9246494811129933
10,-122.49472222101689,45.38361110753624,56.38904,0.14636016,156.61247,0.17569542,1.0,0.9614734824312282,0.9691787859449825,west,45.0_-122.0,0.9027864701393468
11,-123.06416666607393,48.564166666513366,50.842,1.4619579,148.40175,0.5501647,1.0,0.9592742783834702,0.9674194227067763,west,49.0_-123.0,0.8964895227997303
12,-118.73083332807889,46.82805555353459,440.13132,2.675906,5.801545,1.1176643,1.0,0.8772728843619342,0.9018183074895474,east,47.0_-119.0,0.8832656584332719
13,-122.48083333211306,45.661388885612844,60.711117,0.28770295,94.91865,0.106871605,1.0,0.953026516701879,0.9624212133615033,west,46.0_-122.0,0.8786004022610682
