rank,longitude,latitude,elevation,slope,aspect,tri,lith_score,prob,composite,cell
1,-122.74472222128584,45.21694444069028,45.13338,0.79249173,60.476223,0.8526392,1.0,0.9832928326767791,1.0,45.0_-123.0
2,-122.67527777676669,45.716944441228165,56.889038,0.94417536,56.655846,0.49774313,1.0,0.979326824355872,0.9813351268749851,46.0_-123.0
3,-121.80027777582538,47.85583333241803,36.268593,0.7868848,52.584686,0.7065244,1.0,0.9780379509359755,0.9752694162384838,48.0_-122.0
4,-123.57805555551565,48.133611110494634,57.25,0.94650495,207.29997,0.95626926,1.0,0.9776330715845509,0.9733639684648526,48.0_-124.0
5,-122.09194444280581,47.466944443110776,52.856438,1.3497742,63.884842,0.5788255,1.0,0.9768859968509159,0.9698480769210317,47.0_-122.0
6,-122.84194444361265,48.07805555487931,39.7838,1.3863901,65.38221,0.5857053,1.0,0.9744955624857862,0.9585981877305266,48.0_-123.0
7,-122.3141666652671,48.855833333493806,41.781437,0.8519993,58.00958,0.48690987,1.0,0.9730978059954299,0.9520200503588439,49.0_-122.0
8,-122.64749999895902,48.5780555554172,45.904068,1.6496801,74.012276,0.7932,1.0,0.9708224189680992,0.9413115982480514,49.0_-123.0
9,-122.46694444320923,45.61972221890136,77.9569,1.0142179,165.78296,0.55323315,1.0,0.9642468136712906,0.9103654103799836,46.0_-122.0
10,-122.49472222101689,45.466944440959224,109.46223,1.5008339,250.21898,0.656229,1.0,0.9608132158233122,0.894206173432094,45.0_-122.0
11,-122.93916666593947,44.383611106460464,115.09277,0.8967837,254.79248,0.36659336,1.0,0.9585201775662807,0.8834146509048512,44.0_-123.0
12,-120.00861110723127,46.203055552862224,224.69296,1.0385281,254.43251,0.41230392,1.0,0.9514366392690493,0.8500780230170475,46.0_-120.0
13,-118.61972221684825,46.30027777518904,324.81775,0.8874844,250.82684,0.36240005,1.0,0.9478063850083521,0.8329932794399191,46.0_-119.0
14,-120.55027777448066,46.45305555313117,274.12546,1.01442,69.707085,0.37540817,1.0,0.9461067110223185,0.8249942545422729,46.0_-121.0
15,-118.8697222171172,46.52249999765032,322.23563,0.92242515,220.83919,0.35759354,1.0,0.9459902399334705,0.8244461169893034,47.0_-119.0
16,-118.35583332767548,46.008611108208605,268.20688,0.9921633,252.66682,0.4455223,1.0,0.945393172763745,0.8216361927359193,46.0_-118.0
17,-123.466944444285,42.4252777710204,276.8773,1.1104568,258.41574,0.41932678,1.0,0.9451732954320433,0.8206014035556638,42.0_-123.0
18,-121.3974999976143,47.703055554475895,294.40894,0.91424084,231.81502,0.5972481,1.0,0.9369249116336059,0.7817827666222297,48.0_-121.0
19,-123.38361111086203,42.925277771558285,231.82298,1.6848952,250.72218,0.77025604,1.0,0.9361068825089232,0.7779329487223833,43.0_-123.0
20,-120.42527777434618,46.57805555326564,311.58313,1.0328627,130.37422,0.35844803,1.0,0.9333331948357514,0.7648793884877112,47.0_-120.0
21,-117.05027777071544,46.41138888641968,255.62524,1.1857837,261.5581,0.45569038,1.0,0.9286429284057757,0.7428060036749443,46.0_-117.0
22,-120.52249999667299,46.550277775457985,315.47943,1.6327755,257.6258,0.67105865,1.0,0.9272975113096344,0.7364741865510822,47.0_-121.0
23,-117.75861110481078,46.619722219977135,214.6275,1.2512836,278.81403,0.5448837,1.0,0.9232016400334178,0.717198150919998,47.0_-118.0
24,-117.42527777111886,46.66138888668863,225.05,0.0,0.0,0.0,1.0,0.921444858211647,0.7089303644812185,47.0_-117.0
25,-122.35583333197859,44.14749999509535,308.64197,0.6187665,67.662865,0.3022194,1.0,0.9199438547147624,0.7018663248820409,44.0_-122.0
26,-123.64750000003481,42.14749999294379,399.90515,0.9705108,257.0608,0.36550522,1.0,0.9085383525156885,0.6481896216964792,42.0_-124.0
27,-117.25861110427289,44.05027777276854,698.91187,0.9079667,60.735733,0.375885,1.0,0.9003851402735261,0.6098188822154089,44.0_-117.0
28,-117.45305554892651,47.9808333325525,668.87067,0.8780938,26.782843,0.34466553,1.0,0.8984034728867266,0.6004927367921603,48.0_-117.0
29,-117.84194443823375,47.91138888803335,522.11597,2.2352827,21.235128,0.86424255,1.0,0.8971929627846617,0.5947958204865417,48.0_-118.0
30,-117.14749999304225,44.75861110686388,650.18524,0.96522146,67.85518,0.39689636,1.0,0.8927446093678574,0.573860929426886,45.0_-117.0
31,-117.93916666056057,42.46694443773189,1310.0819,0.95159477,252.6675,0.41703796,1.0,0.8881167652054038,0.5520813169941052,42.0_-118.0
32,-123.5086111109965,42.50861110444338,304.78796,3.6907098,108.01317,2.086506,1.0,0.8828071028705968,0.5270929241827711,43.0_-124.0
33,-120.63361110790363,42.96694443826978,1306.7333,0.80690426,256.0514,0.32043457,1.0,0.8783028044606799,0.5058947441650651,43.0_-121.0
34,-117.84194443823375,42.55027777115487,1279.3914,0.9939176,255.02617,0.38085938,1.0,0.8775929996497511,0.5025542527521569,43.0_-118.0
35,-120.39749999653853,43.74472221688427,1351.3424,0.8463927,205.00719,0.32022095,1.0,0.8743374756594964,0.48723306900344304,44.0_-120.0
36,-120.09194444065426,43.21694443853872,1352.3544,0.7446008,171.37888,0.30419922,1.0,0.8730145780617529,0.48100723339712115,43.0_-120.0
37,-120.8419444414611,43.86972221701875,1317.4712,0.7961131,245.24419,0.3399353,1.0,0.8695296290875629,0.4646063271994439,44.0_-121.0
38,-117.2169444375614,42.869722215942964,1318.8313,0.7784517,269.14267,0.29212952,1.0,0.8629361511788735,0.43357602704360976,43.0_-117.0
39,-120.28638888530789,42.49472221553955,1313.6648,0.7288961,189.17735,0.28385925,1.0,0.8618189573849371,0.42831827700058717,42.0_-120.0
40,-117.8141666604261,44.28638888413365,1199.325,0.76812035,171.1756,0.34996033,1.0,0.8542511191619122,0.3927024313356204,44.0_-118.0
41,-122.89749999922797,47.00861110928438,56.042355,11.348522,342.53772,4.2160378,1.0,0.8521729933958907,0.38292233239933104,47.0_-123.0
42,-117.93916666056057,44.86972221809452,1036.3809,0.8506989,252.61281,0.3578949,1.0,0.8449346015384626,0.3488569309386654,45.0_-118.0
43,-114.25861110104555,36.03638887525848,426.2004,5.0229297,149.05434,1.7890053,1.0,0.8331884379055385,0.2935770030680023,36.0_-114.0
44,-120.99472221940323,42.39749999321273,1330.2097,0.08075692,309.37408,0.033737183,1.0,0.8262687631100607,0.26101155144171195,42.0_-121.0
45,-116.71694443702351,40.96694443611822,1490.0868,0.13075319,172.39554,0.066711426,1.0,0.8056707780218163,0.16407308152566635,41.0_-117.0
46,-114.82805554610259,36.89749998729596,1047.1597,3.4203484,41.383686,2.0044556,1.0,0.8041931866249153,0.15711922421568933,37.0_-115.0
47,-119.66138888463553,38.855833322736025,1621.7406,0.954071,233.02145,0.39930725,1.0,0.7991534300246895,0.13340106481892353,39.0_-120.0
48,-117.10583332633075,42.328055548693584,1572.1461,0.14446196,309.12213,0.1015625,1.0,0.7837884860430878,0.06109039202538477,42.0_-117.0
49,-116.41138888113925,40.63361110242629,1534.7902,8.059482,46.84648,3.275299,1.0,0.7782099476798484,0.03483661181418188,41.0_-116.0
50,-116.78638888154266,40.21694443531139,1604.8975,7.4911447,148.17822,3.2165375,1.0,0.7708076850766227,0.0,40.0_-117.0
