priority,rank,latitude,longitude,ml_probability,dist_to_quaternary_m,geo_unit,geo_bonus,composite_score
1,1,42.93255546116922,-117.24504141682579,0.8911331,0.0,,0.2,1.0
2,3,43.20201594267238,-120.86051999148262,0.88395905,0.0,,0.2,0.8330559333165487
3,2,36.71968569950093,-117.98536031052232,0.8851431,70222.83930754793,,0.0,0.69394255677859
4,4,36.97247852235441,-116.90335577358123,0.87002504,0.0,,0.2,0.5088048527638117
5,6,42.71726487027752,-120.63828542677071,0.8686295,0.0,,0.2,0.47633037964502967
6,7,43.21868360132206,-117.77562644007547,0.8674895,0.0,,0.2,0.4498020658890406
7,9,42.8867193998826,-120.63550749471182,0.8655104,0.0,,0.2,0.40374719599882763
8,14,39.06982556910584,-114.91018952132131,0.8631996,0.0,,0.2,0.3499735121925672
9,5,38.154493314927564,-119.45627533570926,0.86987394,38988.90049361406,,0.0,0.33862208326657617
10,16,43.18812622713099,-117.70756710463245,0.8626428,0.0,,0.2,0.3370172753930092
11,17,42.457527189653334,-117.96591478611003,0.8625678,0.0,,0.2,0.3352710083127022
12,25,42.9770025509017,-117.97008168419838,0.86023945,0.0,,0.2,0.2810895418127378
13,11,39.989324737946525,-114.91157848735077,0.8635026,878.5061955699587,,0.1,0.2736918305357297
14,30,43.28813217902906,-120.49799985779632,0.8591035,0.0,,0.2,0.25465555861592293
15,24,39.14066311836697,-114.94491367205755,0.86056644,399.0976131284867,,0.15,0.24703210343917215
16,8,38.25866618148807,-119.59100504056585,0.8659092,38612.809394548756,,0.0,0.2463611215353012
17,36,42.80199213508006,-120.63272956265291,0.85798395,0.0,,0.2,0.22860301410158476
18,42,42.9770025509017,-120.04380796616636,0.8573714,0.0,,0.2,0.2143485260506471
19,22,42.59225743040492,-117.52144565668623,0.8609184,1002.985952317893,,0.1,0.21355583518743515
20,43,43.12701147874882,-117.9034113147848,0.8572535,0.0,,0.2,0.21160498633980754
21,10,38.097545481207824,-119.51600087497559,0.8636591,47200.72395359301,,0.0,0.19399943451086682
22,12,38.04615353370464,-119.40627255864908,0.86349946,45287.70152294062,,0.0,0.19028498480717343
23,13,38.37811773514411,-119.68267679850952,0.8634544,33532.01806751405,,0.0,0.18923639009396237
24,15,38.21977497797214,-119.48405465629824,0.8631457,35173.84299344577,,0.0,0.18205296248197556
25,48,42.5255867958062,-117.85340853772463,0.85591483,0.0,,0.2,0.18045372391740483
26,50,43.11173279165328,-117.56450360359915,0.85532236,0.0,,0.2,0.16666666666666669
27,31,39.71014145556438,-114.6004500967541,0.8589003,1433.6570815840194,,0.1,0.16659384469191235
28,18,38.273944868583605,-119.66045334203832,0.86186206,41993.16895987391,,0.0,0.1521819333235423
29,19,43.67009935641757,-117.4367187288898,0.861857,8924.728213041526,,0.0,0.15206404030323029
30,20,38.17810583134794,-119.74656923586419,0.86164683,54787.60943560466,,0.0,0.14717337985833487
31,27,43.72149130392075,-120.09103281116764,0.8595007,2134.9617774322965,,0.05,0.13889871165156364
32,21,38.06004324924604,-119.3312683930588,0.861171,39540.927195264194,,0.0,0.1361007367571195
33,28,42.70893104095268,-117.47699874374383,0.8593609,2888.2268631097004,,0.05,0.13564474508166313
34,23,38.44478836974283,-119.78268235262988,0.8608862,33781.36844755074,,0.0,0.1294735074043274
35,45,38.82953349023961,-114.33237965307036,0.85702133,1680.7112840879809,,0.1,0.12286917803188166
36,46,38.961485787882914,-114.33099068704091,0.8569753,665.3769164847907,,0.1,0.12179839300612609
37,26,36.59328928807418,-117.84785267360684,0.8602171,72285.3151480544,,0.0,0.11390273769696554
38,34,38.953151958558074,-114.89768882705627,0.85818654,4398.497035483082,,0.05,0.10831752419471741
39,38,38.60452009846893,-119.32015666482322,0.8579085,2985.7743443157447,,0.05,0.10184703643123309
40,29,38.35450521872372,-119.35765874761834,0.8592195,16632.264886085934,,0.0,0.09068805103500685
41,47,39.44206994561536,-114.61989562116639,0.85692114,4072.270431790982,,0.05,0.0788709173599879
42,32,38.560073008736445,-119.76740372630593,0.8586821,23665.537462799126,,0.0,0.07818260540564856
43,33,38.46701191460907,-119.33404632511771,0.8584879,6811.0393902070555,,0.0,0.07366366684436798
44,35,38.02670793194668,-119.67017610424446,0.8579863,62058.676278306266,,0.0,0.06199043865005176
45,37,38.25866618148807,-119.39238289835458,0.8579733,26613.278016227105,,0.0,0.06168806925415993
46,39,38.008651301742866,-119.32571252894101,0.85780144,43501.31840508264,,0.0,0.05768926814198494
47,41,36.1390955898704,-117.0769765272624,0.85773444,62284.23457148152,,0.0,0.05613024656971296
48,40,38.37811773514411,-119.77295959042372,0.85773444,38746.152226253405,,0.0,0.05613024656971296
49,49,38.522570776774664,-114.91018952132131,0.8554684,2027.2549843333798,,0.05,0.04506488501404723
50,44,36.664126837335324,-117.95063615978609,0.8572302,72884.84522026016,,0.0,0.04439599191149076
