occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,longitude,latitude,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso,state_query,lat_r,lon_r,_key,name_len
1313127,occ,,,176222,Colymbus holbellii,subspecies,369444,recombined as,Podiceps grisegena holbollii,subspecies,369442,Late Pleistocene,,0.129,0.0117,57864,-121.046104,43.127918,Chordata,33815,Aves,36616,Podicipediformes,39551,Podicipedidae,39552.0,Podiceps,39553.0,,Colymbus,,,,holbellii,,Oregon,43.128,-121.046,43.128_-121.046,28
1313438,occ,,,93251,Larus philadelphia,species,368539,recombined as,Chroicocephalus philadelphia,species,368531,Late Pleistocene,,0.129,0.0117,57924,-120.5,43.333332,Chordata,33815,Aves,36616,Charadriiformes,36640,Laridae,39603.0,Chroicocephalus,367995.0,,Larus,,,,philadelphia,,Oregon,43.333,-120.5,43.333_-120.5,28
196687,occ,9296.0,,20280,Allophaiomys pliocaenicus,species,43896,,Allophaiomys pliocaenicus,species,43896,Irvingtonian,,1.4,0.21,2721,-114.099998,39.0,Chordata,33815,Mammalia,36651,Rodentia,41370,Cricetidae,41724,Allophaiomys,41730.0,,Allophaiomys,,,,pliocaenicus,,Nevada,39.0,-114.1,39.0_-114.1,25
199229,occ,,,20569,Hemiauchenia macrocephala,species,46853,,Hemiauchenia macrocephala,species,47071,Late Pleistocene,,0.129,0.0117,6225,-112.900002,42.799999,Chordata,33815,Mammalia,36651,Artiodactyla,87634,Camelidae,42513.0,Hemiauchenia,42528.0,,Hemiauchenia,,,,macrocephala,,Idaho,42.8,-112.9,42.8_-112.9,25
1231905,occ,,,162132,Spermophilus richardsonii,species,51716,recombined as,Urocitellus richardsonii,species,44296,Late Pleistocene,,0.129,0.0117,52801,-112.76667,46.200001,Chordata,33815,Mammalia,36651,Rodentia,41370.0,Sciuridae,41486.0,Urocitellus,453452.0,,Spermophilus,,,,richardsonii,,Montana,46.2,-112.767,46.2_-112.767,24
194911,occ,,,20010,Euceratherium collinum,species,46363,,Euceratherium collinum,species,46363,Irvingtonian,,1.4,0.21,2066,-119.5,38.799999,Chordata,33815,Mammalia,36651,Artiodactyla,87634,Bovidae,42742,Euceratherium,42770.0,,Euceratherium,,,,collinum,,Nevada,38.8,-119.5,38.8_-119.5,22
841564,occ,,,93291,Spermophilus townsendii,species,51722,recombined as,Urocitellus townsendii,species,51722,Late Pleistocene,Holocene,0.129,0.0,31562,-114.01667,38.950001,Chordata,33815,Mammalia,36651,Rodentia,41370,Sciuridae,41486,Urocitellus,453452.0,,Spermophilus,,,,townsendii,,Nevada,38.95,-114.017,38.95_-114.017,22
1135093,occ,,,99602,Phrynosoma platyrhinos,species,376756,,Phrynosoma platyrhinos,species,376756,Late Pleistocene,,0.129,0.0117,46768,-114.900002,36.216667,Chordata,33815,Reptilia,36322,Squamata,36379,Iguanidae,37855,Phrynosoma,37874.0,,Phrynosoma,,,,platyrhinos,,Nevada,36.217,-114.9,36.217_-114.9,22
840118,occ,,,93182,cf. Antilocapra americana,species,44135,,Antilocapra americana,species,44137,Late Pleistocene,,0.129,0.0117,31487,-112.583336,44.633331,Chordata,33815,Mammalia,36651,Artiodactyla,87634.0,Antilocapridae,42720.0,Antilocapra,42721.0,,Antilocapra,cf.,,,americana,,Montana,44.633,-112.583,44.633_-112.583,21
197186,occ,,,20310,Megalonyx jeffersonii,species,48022,,Megalonyx jeffersonii,species,48050,Irvingtonian,,1.4,0.21,4222,-105.800003,46.400002,Chordata,33815,Mammalia,36651,Xenarthra,97907.0,Megalonychidae,43596.0,Megalonyx,43603.0,,Megalonyx,,,,jeffersonii,,Montana,46.4,-105.8,46.4_-105.8,21
