latitude,longitude,elevation,slope,aspect,tri,lith_score,genus,accepted_name,state_query,_key,tpi_15m,presence
43.333332,-120.5,1313.0771,0.91287583,313.07245,0.44088745,1.0,Chroicocephalus,Chroicocephalus philadelphia,Oregon,43.333_-120.5,0.4608154296875,1
39.0,-114.099998,1588.9243,0.8472329,218.3445,0.3764801,0.4,Allophaiomys,Allophaiomys pliocaenicus,Nevada,39.0_-114.1,-8.3792724609375,1
42.799999,-112.900002,1341.4139404296875,0.3422211706638336,93.89301300048828,0.09087537229061127,1.0,Hemiauchenia,Hemiauchenia macrocephala,Idaho,42.8_-112.9,4.9931640625,1
46.200001,-112.76667,1452.558349609375,0.21566635370254517,245.16641235351562,0.05785562843084335,1.0,Urocitellus,Urocitellus richardsonii,Montana,46.2_-112.767,-24.6746826171875,1
38.799999,-119.5,2520.1086,29.350584,58.198925,14.283722,0.4,Euceratherium,Euceratherium collinum,Nevada,38.8_-119.5,11.949951171875,1
38.950001,-114.01667,1584.7534,0.33423632,251.4547,0.1414032,1.0,Urocitellus,Urocitellus townsendii,Nevada,38.95_-114.017,163.74609375,1
36.216667,-114.900002,546.4613,1.318086,146.71753,0.6333771,0.4,Phrynosoma,Phrynosoma platyrhinos,Nevada,36.217_-114.9,-8.8583984375,1
44.633331,-112.583336,1916.474853515625,0.8524208068847656,256.4002990722656,0.24417372047901154,1.0,Antilocapra,Antilocapra americana,Montana,44.633_-112.583,-15.54150390625,1
46.400002,-105.800003,739.8526611328125,4.85689115524292,351.41943359375,1.3763914108276367,0.4,Megalonyx,Megalonyx jeffersonii,Montana,46.4_-105.8,-7.298828125,1
43.299999,-111.199997,0.0,0.0,0.0,0.0,0.4,Bootherium,Bootherium bombifrons,Idaho,43.3_-111.2,,1
42.783333,-112.849998,1345.8544921875,0.33430686593055725,336.5000915527344,0.1323552131652832,0.4,Bootherium,Bootherium bombifrons,Idaho,42.783_-112.85,-8.24853515625,1
47.200001,-111.0,1508.9302978515625,8.5095853805542,266.5697021484375,2.304912567138672,0.4,Mammuthus,Mammuthus primigenius,Montana,47.2_-111.0,-46.8013916015625,1
47.483334,-117.566666,715.71265,4.079497,17.285587,1.7004242,0.4,Mammuthus,Mammuthus primigenius,Washington,47.483_-117.567,2.12890625,1
46.615002,-112.982498,1355.8555908203125,14.636703491210938,162.83546447753906,3.900644302368164,0.4,Cynomys,Cynomys ludovicianus,Montana,46.615_-112.982,-10.5274658203125,1
46.666668,-113.166664,1199.880859375,0.639635443687439,54.661197662353516,0.16884955763816833,1.0,Sylvilagus,Sylvilagus nuttallii,Montana,46.667_-113.167,-37.1962890625,1
