occurrence_no,taxon_name,taxon_query,state,latitude,longitude,formation,stratgroup,early_interval,late_interval,collection_no,elevation,slope,aspect,tri
occ:698467,Mammuthus primigenius,Mammuthus,WA,47.483334,-117.566666,,,,,col:75033,715.71265,4.079497,17.285587,1.7004242
occ:939629,Mammuthus columbi,Mammuthus,WA,48.601665,-123.347221,,,,,col:108782,41.281162,3.8782842,221.40044,2.0760827
occ:939630,Mammuthus columbi,Mammuthus,WA,48.458611,-123.294724,,,,,col:108783,4.588078,6.932039,125.56567,2.698645
occ:939632,Mammuthus columbi,Mammuthus,WA,48.472778,-123.291115,,,,,col:108784,0.0,0.0,0.0,0.08734983
occ:939635,Mammuthus columbi,Mammuthus,WA,48.456669,-123.326111,,,,,col:108785,123.49564,13.734871,322.28555,6.0887146
occ:939638,Mammuthus columbi,Mammuthus,WA,48.116943,-122.760559,,,,,col:108787,40.545654,1.3541099,206.09346,0.52278614
occ:939650,Mammuthus columbi,Mammuthus,WA,48.601665,-123.347221,,,,,col:108782,41.281162,3.8782842,221.40044,2.0760827
occ:1634409,Mammuthus,Mammuthus,WA,46.871895,-120.773102,,,,,col:231727,695.55115,2.5104952,27.20297,1.0135574
occ:1655931,Mammuthus columbi,Mammuthus,WA,47.202,-117.523003,,,,,col:235058,629.295,2.1125963,273.28986,0.9035492
occ:1655934,Mammuthus columbi,Mammuthus,WA,46.706001,-117.691002,,,,,col:235059,246.33046,7.5122576,96.96629,3.4743443
occ:1679952,Mammuthus,Mammuthus,WA,45.519016,-122.958008,,,,,col:238063,55.031082,1.457815,60.444126,0.7163992
occ:740483,Mammuthus,Mammuthus,OR,44.533333,-122.900002,,,,,col:79622,108.31864,0.3426363,37.022842,0.109041214
occ:841223,Mammuthus columbi,Mammuthus,OR,43.333332,-120.5,,,,,col:93251,1313.0771,0.91287583,313.07245,0.44088745
occ:1679956,Mammuthus columbi,Mammuthus,OR,44.958775,-122.878143,,,,,col:238067,69.5364,0.7352882,74.23435,0.2810936
occ:198913,Mammuthus columbi,Mammuthus,NV,36.099998,-117.900002,,,,,col:20527,1518.8973,32.840496,28.624178,14.702759
occ:1581300,Mammuthus,Mammuthus,NV,36.654446,-114.568886,,,,,col:223356,473.10806,8.674288,240.4646,3.4205742
occ:1589441,Mammuthus columbi,Mammuthus,NV,36.501389,-116.336945,,,,,col:224638,708.6216,2.6758556,66.35642,1.0378723
occ:197128,Mammut americanum,Mammut,WA,47.0,-118.5,,,,,col:20307,537.4677,1.0109053,13.777428,0.37926483
occ:843322,Mammut americanum,Mammut,WA,48.049999,-123.116669,,,,,col:93677,173.16122,3.382641,283.30853,1.443407
occ:1655933,Mammut,Mammut,WA,47.202,-117.523003,,,,,col:235058,629.295,2.1125963,273.28986,0.9035492
occ:1679953,Mammut pacificus,Mammut,OR,45.373905,-122.776749,,,,,col:238064,62.947327,1.732118,259.90933,0.6752744
occ:1679957,Mammut americanum,Mammut,OR,42.468811,-123.119583,,,,,col:238068,473.15277,13.538344,171.36996,5.64217
occ:197129,Equus,Equus,WA,47.0,-118.5,,,,,col:20307,537.4677,1.0109053,13.777428,0.37926483
occ:939652,Equus,Equus,WA,48.449722,-123.504723,,,,,col:108788,84.12,0.0,0.0,0.032740593
occ:1686265,Equus,Equus,WA,47.202,-117.523003,,,,,col:235058,629.295,2.1125963,273.28986,0.9035492
occ:197705,Equus,Equus,OR,43.0,-118.0,,,,,col:20372,1292.8849,0.93321615,252.41693,0.4118805
occ:841224,Equus mexicanus,Equus,OR,43.333332,-120.5,,,,,col:93251,1313.0771,0.91287583,313.07245,0.44088745
occ:841225,Equus,Equus,OR,43.333332,-120.5,,,,,col:93251,1313.0771,0.91287583,313.07245,0.44088745
occ:1551368,Equus conversidens,Equus,OR,42.761299,-120.551399,,,,,col:219041,1431.702,19.355274,233.07892,6.752228
occ:1679948,Equus,Equus,OR,45.148335,-122.842499,,,,,col:238062,56.922665,0.114039056,67.339294,0.09927368
occ:194910,Equus,Equus,NV,38.799999,-119.5,,,,,col:20010,2520.1086,29.350584,58.198925,14.283722
occ:194918,Equus,Equus,NV,38.799999,-119.5,,,,,col:20012,2520.1086,29.350584,58.198925,14.283722
occ:194919,Equus giganteus,Equus,NV,38.799999,-119.5,,,,,col:20012,2520.1086,29.350584,58.198925,14.283722
occ:194926,Equus,Equus,NV,38.799999,-119.5,,,,,col:20014,2520.1086,29.350584,58.198925,14.283722
occ:195958,Equus,Equus,NV,39.0,-119.199997,,,,,col:20136,1355.6025,0.73130804,175.29007,0.30160522
occ:198109,Equus,Equus,NV,35.305557,-119.623337,,,,,col:20414,320.74292,1.1208351,261.16583,0.4594078
occ:198914,Equus,Equus,NV,36.099998,-117.900002,,,,,col:20527,1518.8973,32.840496,28.624178,14.702759
occ:199781,Equus,Equus,NV,35.099998,-120.0,,,,,col:20630,604.5084,17.760593,328.6954,6.812042
occ:841169,Equus,Equus,NV,35.933334,-119.816666,,,,,col:93249,59.372482,0.15665847,93.800316,0.07165623
occ:841562,Equus,Equus,NV,38.950001,-114.01667,,,,,col:93291,1584.7534,0.33423632,251.4547,0.1414032
occ:841719,Equus mexicanus,Equus,NV,39.483334,-114.033333,,,,,col:93326,1630.6196,8.214687,78.96615,3.282486
occ:841720,Equus conversidens,Equus,NV,39.483334,-114.033333,,,,,col:93326,1630.6196,8.214687,78.96615,3.282486
occ:1581306,Equus,Equus,NV,36.654446,-114.568886,,,,,col:223356,473.10806,8.674288,240.4646,3.4205742
occ:197131,Camelops,Camelops,WA,47.0,-118.5,,,,,col:20307,537.4677,1.0109053,13.777428,0.37926483
